Sample ID,BeadChip Barcode,Sentrix Position,Plate Number,Well Position,Collected Gender
7801657,205695340025,R01C01,Plate_01,A01,Male
7801681,205695340025,R02C01,Plate_01,B01,Female
7801723,205695340025,R03C01,Plate_01,C01,Male
7801764,205695340025,R04C01,Plate_01,D01,Female
7801806,205695340025,R05C01,Plate_01,E01,Female
7801848,205695340025,R06C01,Plate_01,F01,Male
7801889,205695340025,R07C01,Plate_01,G01,Male
7801921,205695340025,R08C01,Plate_01,H01,Male
7801962,205695340026,R01C01,Plate_01,A02,Male
7802002,205695340026,R02C01,Plate_01,B02,Male
7802044,205695340026,R03C01,Plate_01,C02,Male
7802085,205695340026,R04C01,Plate_01,D02,Female
7802135,205695340026,R05C01,Plate_01,E02,Male
7810112,205695340026,R06C01,Plate_01,F02,Female
7810179,205695340026,R07C01,Plate_01,G02,Male
7810294,205695340026,R08C01,Plate_01,H02,Female
7810351,205695340034,R01C01,Plate_01,A03,Male
7810666,205695340034,R02C01,Plate_01,B03,Male
7810708,205695340034,R03C01,Plate_01,C03,Male
7810740,205695340034,R04C01,Plate_01,D03,Male
7810781,205695340034,R05C01,Plate_01,E03,Female
7810872,205695340034,R06C01,Plate_01,F03,Male
7810914,205695340034,R07C01,Plate_01,G03,Male
7810955,205695340034,R08C01,Plate_01,H03,Male
7800030,205695340002,R01C01,Plate_01,A07,Female
7800063,205695340002,R02C01,Plate_01,B07,Female
7809726,205695340002,R03C01,Plate_01,C07,Female
7800097,205695340002,R04C01,Plate_01,D07,Female
7800121,205695340002,R05C01,Plate_01,E07,Male
7800154,205695340002,R06C01,Plate_01,F07,Male
7800188,205695340002,R07C01,Plate_01,G07,Female
7809759,205695340002,R08C01,Plate_01,H07,Male
7809783,205695340030,R01C01,Plate_01,A08,Female
7795206,205695340030,R02C01,Plate_01,B08,Male
7795495,205695340030,R03C01,Plate_01,C08,Male
7795529,205695340030,R04C01,Plate_01,D08,Male
7795560,205695340030,R05C01,Plate_01,E08,Female
7795719,205695340030,R06C01,Plate_01,F08,Female
7795743,205695340030,R07C01,Plate_01,G08,Female
7795776,205695340030,R08C01,Plate_01,H08,Female
7795800,205695340052,R01C01,Plate_01,A09,Male
7795834,205695340052,R02C01,Plate_01,B09,Female
7795958,205695340052,R03C01,Plate_01,C09,Male
7795982,205695340052,R04C01,Plate_01,D09,Female
7796022,205695340052,R05C01,Plate_01,E09,Female
7796063,205695340052,R06C01,Plate_01,F09,Female
7796105,205695340052,R07C01,Plate_01,G09,Female
7796220,205695340052,R08C01,Plate_01,H09,Male
7796311,205695340049,R01C01,Plate_01,A10,Male
7796345,205695340049,R02C01,Plate_01,B10,Female
7796378,205695340049,R03C01,Plate_01,C10,Female
7796410,205695340049,R04C01,Plate_01,D10,Male
7796253,205695340049,R05C01,Plate_01,E10,Female
7802911,205695340049,R06C01,Plate_01,F10,Male
7802945,205695340049,R07C01,Plate_01,G10,Female
7802978,205695340049,R08C01,Plate_01,H10,Female
7803000,205695340054,R01C01,Plate_01,A11,Female
7803034,205695340054,R02C01,Plate_01,B11,Male
7803067,205695340054,R03C01,Plate_01,C11,Female
7803091,205695340054,R04C01,Plate_01,D11,Male
7803125,205695340054,R05C01,Plate_01,E11,Male
7803158,205695340054,R06C01,Plate_01,F11,Male
7803182,205695340054,R07C01,Plate_01,G11,Male
7803216,205695340054,R08C01,Plate_01,H11,Female
7803513,205695340004,R01C01,Plate_02,A01,Male
7805070,205695340004,R02C01,Plate_02,B01,Male
7805104,205695340004,R03C01,Plate_02,C01,Female
7805138,205695340004,R04C01,Plate_02,D01,Male
7805161,205695340004,R05C01,Plate_02,E01,Male
7805195,205695340004,R06C01,Plate_02,F01,Male
7805229,205695340004,R07C01,Plate_02,G01,Male
7805278,205695340004,R08C01,Plate_02,H01,Male
7805310,205695340005,R01C01,Plate_02,A02,Male
7805344,205695340005,R02C01,Plate_02,B02,Male
7805377,205695340005,R03C01,Plate_02,C02,Female
7805435,205695340005,R04C01,Plate_02,D02,Male
7807233,205695340005,R05C01,Plate_02,E02,Male
7807266,205695340005,R06C01,Plate_02,F02,Female
7807290,205695340005,R07C01,Plate_02,G02,Male
7807357,205695340005,R08C01,Plate_02,H02,Female
7807381,205695340023,R01C01,Plate_02,A03,Male
7807415,205695340023,R02C01,Plate_02,B03,Female
7807449,205695340023,R03C01,Plate_02,C03,Female
7807472,205695340023,R04C01,Plate_02,D03,Male
7807506,205695340023,R05C01,Plate_02,E03,Male
7807597,205695340023,R06C01,Plate_02,F03,Male
7807654,205695340023,R07C01,Plate_02,G03,Female
7807688,205695340023,R08C01,Plate_02,H03,Male
7807712,205695340028,R01C01,Plate_02,A04,Male
7807746,205695340028,R02C01,Plate_02,B04,Male
7807779,205695340028,R03C01,Plate_02,C04,Male
7803570,205695340028,R04C01,Plate_02,D04,Male
7803612,205695340028,R05C01,Plate_02,E04,Female
7803679,205695340028,R06C01,Plate_02,F04,Female
7805468,205695340028,R07C01,Plate_02,G04,Female
7805492,205695340028,R08C01,Plate_02,H04,Male
7805765,205695340053,R01C01,Plate_02,A06,Male
7807803,205695340053,R02C01,Plate_02,B06,Male
7807837,205695340053,R03C01,Plate_02,C06,Female
